symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
VTV,,,base,LONG,2026-01-26,198.23,2026-01-26,198.0157,66.3204,-14.21,-0.1081,0.0,0.0,signal_decay,
VTV,,,base,LONG,2026-01-26,198.215,2026-01-27,197.9457,60.6344,-16.33,-0.1359,0.0,0.0,signal_decay,
VTV,,,base,LONG,2026-01-27,198.235,2026-01-28,198.8304,87.707,52.22,0.3004,0.0,0.0,signal_decay,
VTV,,,base,LONG,2026-01-28,198.6,2026-01-29,199.3102,69.7216,49.52,0.3576,0.0,0.0,max_hold,
VTV,,,base,LONG,2026-01-29,199.2,2026-01-29,199.5301,127.6277,42.13,0.1657,0.0,0.0,signal_decay,
VTV,,,base,LONG,2026-01-29,199.22,2026-01-30,198.68,98.5868,-53.24,-0.2711,0.0,0.0,signal_decay,
VTV,,,base,LONG,2026-01-30,199.14,2026-02-02,200.9147,80.9076,143.59,0.8912,0.0,0.0,signal_decay,
VTV,,,base,LONG,2026-02-02,200.965,2026-02-02,201.3345,81.6814,30.18,0.1839,0.0,0.0,signal_decay,
VTV,,,base,LONG,2026-02-02,201.33,2026-02-03,201.8393,59.1273,30.11,0.253,0.0,0.0,max_hold,
VTV,,,base,LONG,2026-02-03,201.88,2026-02-03,201.8893,55.4013,0.51,0.0046,0.0,0.0,signal_decay,
VTV,,,base,LONG,2026-02-03,201.98,2026-02-04,204.0885,95.6827,201.75,1.0439,0.0,0.0,max_hold,
VTV,,,base,LONG,2026-02-04,204.155,2026-02-05,202.24,77.1421,-147.73,-0.938,0.0,0.0,signal_decay,
VTV,,,base,LONG,2026-02-05,202.78,2026-02-06,205.93,60.7568,191.38,1.5534,0.0,0.0,signal_decay,
VTV,,,base,LONG,2026-02-06,205.78,2026-02-06,205.9879,58.5792,12.18,0.101,0.0,0.0,signal_decay,
VTV,,,base,LONG,2026-02-06,206.12,2026-02-09,206.2478,64.4688,8.24,0.062,0.0,0.0,signal_decay,
VTV,,,base,LONG,2026-02-09,206.02,2026-02-10,206.5427,68.9183,36.02,0.2537,0.0,0.0,signal_decay,
VTV,,,base,LONG,2026-02-10,206.2899,2026-02-10,206.2278,52.363,-3.25,-0.0301,0.0,0.0,signal_decay,
VTV,,,base,LONG,2026-02-10,206.155,2026-02-10,205.9529,52.2438,-10.56,-0.098,0.0,0.0,signal_decay,
VTV,,,base,LONG,2026-02-10,206.05,2026-02-11,207.0275,67.7377,66.21,0.4744,0.0,0.0,signal_decay,
VTV,,,base,LONG,2026-02-11,206.99,2026-02-11,206.7776,51.8597,-11.02,-0.1026,0.0,0.0,signal_decay,
VTV,,,base,LONG,2026-02-12,208.025,2026-02-12,204.6483,92.7641,-313.24,-1.6232,0.0,0.0,disaster_stop,
VTV,,,base,LONG,2026-02-12,204.85,2026-02-12,205.3731,62.3991,32.64,0.2554,0.0,0.0,signal_decay,
VTV,,,base,LONG,2026-02-12,206.05,2026-02-13,205.8555,48.7784,-9.49,-0.0944,0.0,0.0,signal_decay,
VTV,,,base,LONG,2026-02-13,206.29,2026-02-17,205.583,63.6529,-45.0,-0.3427,0.0,0.0,signal_decay,
VTV,,,base,LONG,2026-02-17,205.84,2026-02-17,205.8379,55.2459,-0.12,-0.001,0.0,0.0,signal_decay,
VTV,,,base,LONG,2026-02-17,206.015,2026-02-18,206.8226,54.2606,43.82,0.392,0.0,0.0,signal_decay,
VTV,,,base,LONG,2026-02-18,206.855,2026-02-19,206.2978,59.3959,-33.1,-0.2694,0.0,0.0,signal_decay,
VTV,,,base,LONG,2026-02-20,205.48,2026-02-20,205.8979,136.053,56.86,0.2034,0.0,0.0,signal_decay,
VTV,,,base,LONG,2026-02-20,206.5899,2026-02-23,204.9632,61.7639,-100.47,-0.7874,0.0,0.0,signal_decay,
VTV,,,base,LONG,2026-02-23,205.145,2026-02-24,206.1878,57.2227,59.67,0.5083,0.0,0.0,signal_decay,
VTV,,,base,LONG,2026-02-24,206.17,2026-02-25,205.688,81.341,-39.21,-0.2338,0.0,0.0,signal_decay,
VTV,,,base,LONG,2026-03-04,205.125,2026-03-04,205.1082,61.2039,-1.03,-0.0082,0.0,0.0,signal_decay,
VTV,,,base,LONG,2026-03-11,198.98,2026-03-12,197.8407,105.3029,-119.97,-0.5726,0.0,0.0,signal_decay,
VTV,,,base,LONG,2026-03-18,197.59,2026-03-19,196.1113,51.7274,-76.49,-0.7484,0.0,0.0,signal_decay,
VTV,,,base,LONG,2026-03-25,197.73,2026-03-26,196.5512,109.4374,-129.0,-0.5962,0.0,0.0,signal_decay,
