symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
VWO,,,base,LONG,2026-01-26,56.875,2026-01-27,57.3398,369.9463,171.95,0.8172,0.0,0.0,max_hold,
VWO,,,base,LONG,2026-01-27,57.365,2026-01-28,57.9697,873.1103,527.97,1.0541,0.0,0.0,max_hold,
VWO,,,base,LONG,2026-01-28,57.975,2026-01-29,57.9497,868.4771,-21.97,-0.0436,0.0,0.0,max_hold,
VWO,,,base,LONG,2026-01-29,57.92,2026-01-29,56.9701,869.1121,-825.57,-1.64,0.0,0.0,disaster_stop,
VWO,,,base,LONG,2026-01-29,57.02,2026-01-30,56.9423,875.5908,-68.03,-0.1363,0.0,0.0,max_hold,
VWO,,,base,LONG,2026-01-30,56.87,2026-02-02,56.3303,877.3022,-473.48,-0.949,0.0,0.0,max_hold,
VWO,,,base,LONG,2026-02-02,56.3342,2026-02-03,56.9451,881.4438,538.47,1.0844,0.0,0.0,max_hold,
VWO,,,base,LONG,2026-02-03,56.925,2026-02-04,56.5252,877.0254,-350.63,-0.7023,0.0,0.0,max_hold,
VWO,,,base,LONG,2026-02-04,56.46,2026-02-05,55.9916,881.1434,-412.73,-0.8296,0.0,0.0,max_hold,
VWO,,,base,LONG,2026-02-05,55.95,2026-02-06,56.985,885.4868,916.48,1.8499,0.0,0.0,max_hold,
VWO,,,base,LONG,2026-02-06,57.0,2026-02-09,57.7248,877.2145,635.81,1.2716,0.0,0.0,max_hold,
VWO,,,base,LONG,2026-02-09,57.7594,2026-02-10,57.9597,871.1852,174.5,0.3468,0.0,0.0,max_hold,
VWO,,,base,LONG,2026-02-10,58.005,2026-02-11,58.2046,869.0006,173.45,0.3441,0.0,0.0,max_hold,
VWO,,,base,LONG,2026-02-11,58.25,2026-02-12,57.7402,711.0697,-362.5,-0.8752,0.0,0.0,max_hold,
VWO,,,base,LONG,2026-02-12,57.88,2026-02-13,57.6548,869.2442,-195.75,-0.3891,0.0,0.0,max_hold,
VWO,,,base,LONG,2026-02-13,57.6908,2026-02-17,57.5399,870.3984,-131.34,-0.2616,0.0,0.0,max_hold,
VWO,,,base,LONG,2026-02-17,57.55,2026-02-18,58.1596,871.3867,531.2,1.0593,0.0,0.0,max_hold,
VWO,,,base,LONG,2026-02-18,58.17,2026-02-19,57.5199,416.1219,-270.52,-1.1176,0.0,0.0,max_hold,
VWO,,,base,LONG,2026-02-19,57.495,2026-02-20,58.2996,874.4873,703.61,1.3994,0.0,0.0,max_hold,
VWO,,,base,LONG,2026-02-20,58.3,2026-02-23,58.0897,868.4469,-182.63,-0.3607,0.0,0.0,max_hold,
VWO,,,base,LONG,2026-02-23,58.1,2026-02-24,58.7744,867.5916,585.11,1.1608,0.0,0.0,max_hold,
VWO,,,base,LONG,2026-03-02,57.255,2026-03-03,54.7108,887.8122,-2258.77,-4.4436,0.0,0.0,disaster_stop,
VWO,,,base,LONG,2026-03-09,54.3801,2026-03-10,56.2003,913.9796,1663.63,3.3472,0.0,0.0,max_hold,
VWO,,,base,LONG,2026-03-16,54.905,2026-03-17,55.2464,920.3919,314.22,0.6218,0.0,0.0,max_hold,
VWO,,,base,LONG,2026-03-23,53.6,2026-03-24,53.2214,945.7318,-358.05,-0.7063,0.0,0.0,max_hold,
VWO,,,base,LONG,2026-03-24,53.17,2026-03-25,54.4859,950.0132,1250.12,2.4749,0.0,0.0,max_hold,
VWO,,,base,LONG,2026-03-25,54.535,2026-03-26,53.4863,937.6962,-983.36,-1.923,0.0,0.0,disaster_stop,
VWO,,,base,LONG,2026-03-26,53.385,2026-03-26,52.8415,948.6856,-515.61,-1.0181,0.0,0.0,end_of_backtest,
