direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,exit_reason
SHORT,2026-02-01,0.04,2026-02-01,0.04,437971.02,-67.45,-0.43,signal_decay
LONG,2026-02-01,0.04,2026-02-01,0.04,1326731.34,103.49,0.22,signal_decay
LONG,2026-02-01,0.03,2026-02-01,0.03,501659.55,-55.68,-0.32,signal_decay
SHORT,2026-02-01,0.04,2026-02-01,0.03,535649.91,731.16,3.88,signal_decay
LONG,2026-02-01,0.03,2026-02-01,0.03,922245.03,-267.45,-0.86,signal_decay
SHORT,2026-02-01,0.04,2026-02-01,0.04,830617.5,-769.15,-2.64,disaster_stop
SHORT,2026-02-01,0.04,2026-02-01,0.04,1387572.91,-1363.98,-2.74,disaster_stop
SHORT,2026-02-01,0.04,2026-02-01,0.04,1336182.02,652.06,1.33,signal_decay
LONG,2026-02-01,0.04,2026-02-01,0.04,1382087.39,-140.97,-0.28,signal_decay
SHORT,2026-02-01,0.04,2026-02-01,0.04,449756.5,-403.88,-2.51,disaster_stop
LONG,2026-02-02,0.04,2026-02-02,0.04,559069.75,440.55,2.19,signal_decay
SHORT,2026-02-02,0.04,2026-02-02,0.04,603806.58,-720.95,-3.24,disaster_stop
LONG,2026-02-02,0.04,2026-02-02,0.04,984624.72,1185.49,3.34,signal_decay
SHORT,2026-02-02,0.04,2026-02-02,0.04,609141.87,970.97,4.27,signal_decay
LONG,2026-02-02,0.04,2026-02-02,0.04,1406098.49,-89.99,-0.18,signal_decay
LONG,2026-02-02,0.04,2026-02-02,0.04,535329.28,536.94,2.84,signal_decay
LONG,2026-02-02,0.04,2026-02-02,0.04,738771.77,419.62,1.57,signal_decay
SHORT,2026-02-02,0.04,2026-02-02,0.04,1324440.44,-1470.13,-2.91,disaster_stop
SHORT,2026-02-02,0.04,2026-02-02,0.04,1262897.86,718.59,1.44,signal_decay
LONG,2026-02-02,0.04,2026-02-02,0.04,794922.17,0.0,0.0,signal_decay
LONG,2026-02-02,0.04,2026-02-03,0.04,1350038.14,3781.46,7.72,signal_decay
LONG,2026-02-03,0.04,2026-02-03,0.04,1218105.61,624.89,1.39,signal_decay
LONG,2026-02-03,0.04,2026-02-03,0.04,487381.2,-323.13,-1.77,signal_decay
LONG,2026-02-03,0.04,2026-02-03,0.04,501692.17,18.56,0.1,signal_decay
SHORT,2026-02-03,0.04,2026-02-03,0.04,640943.26,983.21,4.01,signal_decay
SHORT,2026-02-03,0.04,2026-02-03,0.04,1246754.03,1256.73,2.63,signal_decay
LONG,2026-02-03,0.04,2026-02-03,0.04,1434168.92,0.0,0.0,signal_decay
SHORT,2026-02-03,0.04,2026-02-03,0.04,896970.33,899.66,2.65,signal_decay
SHORT,2026-02-03,0.04,2026-02-03,0.04,487066.94,-114.95,-0.64,signal_decay
LONG,2026-02-03,0.04,2026-02-04,0.04,457793.01,-87.44,-0.52,signal_decay
SHORT,2026-02-04,0.04,2026-02-04,0.04,524417.17,324.61,1.73,max_hold
SHORT,2026-02-04,0.03,2026-02-04,0.03,473123.51,46.84,0.28,signal_decay
LONG,2026-02-05,0.04,2026-02-05,0.04,569927.19,555.11,2.77,signal_decay
LONG,2026-02-05,0.04,2026-02-05,0.03,1090383.79,-901.75,-2.35,disaster_stop
LONG,2026-02-05,0.03,2026-02-05,0.03,1557715.45,-306.87,-0.57,signal_decay
LONG,2026-02-05,0.03,2026-02-05,0.03,542111.17,-56.92,-0.3,signal_decay
LONG,2026-02-05,0.03,2026-02-05,0.03,596140.82,-81.67,-0.4,signal_decay
LONG,2026-02-05,0.03,2026-02-05,0.03,852846.71,-113.43,-0.4,signal_decay
SHORT,2026-02-05,0.03,2026-02-05,0.03,620142.46,179.84,0.89,signal_decay
SHORT,2026-02-05,0.03,2026-02-05,0.03,900377.72,614.96,2.08,signal_decay
LONG,2026-02-05,0.03,2026-02-05,0.03,1080663.29,-108.07,-0.31,signal_decay
LONG,2026-02-05,0.03,2026-02-05,0.03,577585.47,541.78,2.99,signal_decay
SHORT,2026-02-05,0.03,2026-02-05,0.03,543847.64,487.29,2.77,signal_decay
LONG,2026-02-05,0.03,2026-02-05,0.03,1735579.54,-164.88,-0.3,signal_decay
LONG,2026-02-05,0.03,2026-02-05,0.03,1537608.66,1691.37,3.67,signal_decay
LONG,2026-02-05,0.03,2026-02-05,0.03,686534.28,1441.72,6.89,signal_decay
LONG,2026-02-05,0.03,2026-02-06,0.03,1839300.23,-478.22,-0.86,signal_decay
LONG,2026-02-06,0.03,2026-02-06,0.03,570990.69,342.59,2.0,signal_decay
LONG,2026-02-06,0.03,2026-02-06,0.03,1821223.35,180.3,0.32,signal_decay
SHORT,2026-02-06,0.03,2026-02-06,0.03,1708382.75,2861.54,5.13,signal_decay
LONG,2026-02-06,0.03,2026-02-06,0.03,923586.84,867.25,3.03,signal_decay
SHORT,2026-02-06,0.03,2026-02-06,0.03,1803977.89,-1845.47,-3.2,disaster_stop
SHORT,2026-02-06,0.03,2026-02-06,0.03,1725058.99,-1543.93,-2.72,disaster_stop
SHORT,2026-02-06,0.03,2026-02-06,0.03,1663579.71,-237.89,-0.42,signal_decay
LONG,2026-02-06,0.03,2026-02-06,0.03,558527.37,320.59,1.73,signal_decay
SHORT,2026-02-06,0.03,2026-02-06,0.04,1602896.52,-1671.82,-2.98,disaster_stop
SHORT,2026-02-06,0.04,2026-02-06,0.04,1539867.29,-2240.51,-4.06,disaster_stop
SHORT,2026-02-06,0.04,2026-02-06,0.04,1456129.73,-2421.54,-4.48,disaster_stop
SHORT,2026-02-06,0.04,2026-02-06,0.04,1366705.04,-1939.35,-3.67,disaster_stop
SHORT,2026-02-06,0.04,2026-02-06,0.04,1365680.02,-2867.93,-5.53,disaster_stop
SHORT,2026-02-06,0.04,2026-02-06,0.04,1262778.12,3865.36,7.66,signal_decay
LONG,2026-02-06,0.04,2026-02-06,0.04,1422528.2,2886.31,5.51,signal_decay
