symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
XLB,,,base,LONG,2026-01-26,50.2186,2026-01-27,49.9175,995.647,-299.79,-0.5996,0.0,0.0,max_hold,
XLB,,,base,LONG,2026-01-27,49.99,2026-01-27,49.8925,829.2455,-80.85,-0.195,0.0,0.0,signal_decay,
XLB,,,base,LONG,2026-01-27,49.945,2026-01-28,50.0275,346.5617,28.59,0.1652,0.0,0.0,signal_decay,
XLB,,,base,LONG,2026-01-28,49.9501,2026-01-28,49.8126,502.9439,-69.15,-0.2753,0.0,0.0,signal_decay,
XLB,,,base,LONG,2026-01-28,49.75,2026-01-29,49.6076,356.2251,-50.73,-0.2862,0.0,0.0,signal_decay,
XLB,,,base,LONG,2026-01-29,49.655,2026-01-29,49.8126,397.11,62.59,0.3174,0.0,0.0,signal_decay,
XLB,,,base,LONG,2026-01-29,49.9,2026-01-30,49.1178,361.1112,-282.46,-1.5675,0.0,0.0,disaster_stop,
XLB,,,base,LONG,2026-01-30,49.075,2026-01-30,49.275,440.6081,88.12,0.4075,0.0,0.0,signal_decay,
XLB,,,base,LONG,2026-01-30,49.258,2026-02-02,49.6876,266.4831,114.48,0.8721,0.0,0.0,max_hold,
XLB,,,base,LONG,2026-02-02,49.71,2026-02-03,50.5223,688.0267,558.88,1.6341,0.0,0.0,max_hold,
XLB,,,base,LONG,2026-02-03,50.585,2026-02-04,51.8618,989.124,1262.91,2.5241,0.0,0.0,max_hold,
XLB,,,base,LONG,2026-02-04,51.94,2026-02-05,51.1121,941.6407,-779.58,-1.594,0.0,0.0,disaster_stop,
XLB,,,base,LONG,2026-02-05,51.125,2026-02-05,50.7372,983.4035,-381.36,-0.7585,0.0,0.0,signal_decay,
XLB,,,base,LONG,2026-02-05,50.645,2026-02-05,50.5423,337.462,-34.66,-0.2028,0.0,0.0,signal_decay,
XLB,,,base,LONG,2026-02-05,50.72,2026-02-06,51.472,443.1815,333.27,1.4826,0.0,0.0,max_hold,
XLB,,,base,LONG,2026-02-06,51.48,2026-02-09,52.2267,527.9345,394.21,1.4505,0.0,0.0,max_hold,
XLB,,,base,LONG,2026-02-09,52.235,2026-02-10,52.9265,584.0594,403.88,1.3238,0.0,0.0,max_hold,
XLB,,,base,LONG,2026-02-10,52.965,2026-02-11,53.4793,602.3024,309.76,0.971,0.0,0.0,max_hold,
XLB,,,base,LONG,2026-02-11,53.52,2026-02-12,53.0064,700.4805,-359.77,-0.9596,0.0,0.0,signal_decay,
XLB,,,base,SHORT,2026-02-12,53.08,2026-02-12,53.2886,285.7341,-59.6,-0.393,0.0,0.0,signal_decay,
XLB,,,base,LONG,2026-02-12,53.09,2026-02-13,53.2514,952.7099,153.77,0.304,0.0,0.0,max_hold,
XLB,,,base,LONG,2026-02-13,53.225,2026-02-17,52.2217,951.738,-954.88,-1.885,0.0,0.0,disaster_stop,
XLB,,,base,LONG,2026-02-17,52.18,2026-02-17,52.6566,961.6484,458.32,0.9134,0.0,0.0,signal_decay,
XLB,,,base,LONG,2026-02-17,52.735,2026-02-17,52.9065,195.4393,33.52,0.3252,0.0,0.0,signal_decay,
XLB,,,base,LONG,2026-02-17,52.83,2026-02-18,52.9215,292.7472,26.79,0.1732,0.0,0.0,max_hold,
XLB,,,base,LONG,2026-02-18,52.975,2026-02-19,52.6866,592.6424,-170.92,-0.5444,0.0,0.0,signal_decay,
XLB,,,base,LONG,2026-02-19,52.78,2026-02-20,52.7265,522.0186,-27.93,-0.1014,0.0,0.0,signal_decay,
XLB,,,base,LONG,2026-02-20,52.795,2026-02-23,52.5016,219.635,-64.44,-0.5557,0.0,0.0,signal_decay,
XLB,,,base,LONG,2026-02-23,52.5101,2026-02-23,52.7865,265.793,73.46,0.5264,0.0,0.0,signal_decay,
XLB,,,base,LONG,2026-02-23,52.805,2026-02-24,53.3863,270.1135,157.02,1.1008,0.0,0.0,max_hold,
XLB,,,base,LONG,2026-02-24,53.3985,2026-02-25,52.9665,315.3075,-136.21,-0.809,0.0,0.0,signal_decay,
XLB,,,base,LONG,2026-02-25,52.98,2026-02-25,53.0064,244.2036,6.45,0.0498,0.0,0.0,signal_decay,
XLB,,,base,LONG,2026-02-25,53.12,2026-02-26,52.7415,413.483,-156.5,-0.7125,0.0,0.0,signal_decay,
XLB,,,base,LONG,2026-02-26,52.68,2026-02-26,52.5916,209.3447,-18.51,-0.1678,0.0,0.0,signal_decay,
XLB,,,base,LONG,2026-02-26,52.92,2026-02-27,52.8965,423.3372,-9.95,-0.0444,0.0,0.0,signal_decay,
XLB,,,base,LONG,2026-02-27,52.9601,2026-02-27,53.2414,197.9891,55.69,0.5312,0.0,0.0,signal_decay,
XLB,,,base,LONG,2026-02-27,53.285,2026-03-02,53.0714,424.504,-90.67,-0.4009,0.0,0.0,signal_decay,
XLB,,,base,LONG,2026-03-09,49.215,2026-03-09,49.4627,259.9708,64.39,0.5033,0.0,0.0,signal_decay,
XLB,,,base,LONG,2026-03-16,49.265,2026-03-17,49.5576,790.2051,231.21,0.5939,0.0,0.0,max_hold,
XLB,,,base,LONG,2026-03-23,47.68,2026-03-24,48.423,1056.9354,785.3,1.5583,0.0,0.0,max_hold,
XLB,,,base,LONG,2026-03-24,48.415,2026-03-25,49.2727,1048.9999,899.73,1.7716,0.0,0.0,max_hold,
XLB,,,base,LONG,2026-03-25,49.32,2026-03-26,49.0728,848.9593,-209.86,-0.5012,0.0,0.0,max_hold,
XLB,,,base,LONG,2026-03-26,49.15,2026-03-26,49.0828,297.4065,-19.99,-0.1367,0.0,0.0,end_of_backtest,
