direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,exit_reason
LONG,2022-12-07,85.79,2022-12-07,85.12,1107.36,-741.93,-0.78,eod
SHORT,2022-12-08,86.78,2022-12-08,84.72,1086.54,2243.7,2.38,eod
SHORT,2022-12-09,84.27,2022-12-09,82.7,1144.26,1796.49,1.86,eod
LONG,2022-12-13,87.01,2022-12-13,86.45,1127.84,-631.59,-0.64,eod
SHORT,2022-12-15,84.92,2022-12-15,85.45,1148.53,-608.72,-0.62,eod
LONG,2022-12-16,83.95,2022-12-16,84.36,1154.91,473.51,0.49,eod
LONG,2022-12-27,87.57,2022-12-27,88.05,1112.31,533.91,0.55,eod
LONG,2022-12-30,86.86,2022-12-30,87.51,1127.24,732.71,0.75,eod
SHORT,2023-01-03,86.53,2023-01-03,84.31,1139.58,2529.88,2.57,eod
LONG,2023-01-05,84.96,2023-01-05,86.0,1188.93,1236.49,1.22,eod
LONG,2023-01-06,87.47,2023-01-06,87.53,1168.24,64.25,0.06,eod
SHORT,2023-01-09,88.79,2023-01-09,87.24,1151.56,1784.92,1.75,eod
SHORT,2023-01-11,88.22,2023-01-11,88.11,1178.22,129.6,0.12,eod
LONG,2023-01-17,90.53,2023-01-17,90.1,1149.52,-494.29,-0.47,eod
LONG,2023-01-19,88.22,2023-01-19,89.55,1174.3,1561.81,1.51,eod
SHORT,2023-01-20,89.69,2023-01-20,90.6,1171.59,-1066.15,-1.01,eod
SHORT,2023-01-30,89.9,2023-01-30,89.17,1157.59,845.04,0.81,eod
SHORT,2023-01-31,88.68,2023-01-31,89.9,1182.57,-1442.73,-1.38,eod
SHORT,2023-02-06,85.41,2023-02-06,85.63,1211.8,-266.6,-0.26,eod
LONG,2023-02-08,88.36,2023-02-08,87.55,1168.47,-946.46,-0.92,eod
SHORT,2023-02-09,87.13,2023-02-09,86.85,1174.65,328.9,0.32,eod
SHORT,2023-02-13,89.43,2023-02-13,90.01,1147.93,-665.8,-0.65,eod
SHORT,2023-02-16,87.96,2023-02-16,87.62,1159.93,394.37,0.39,eod
SHORT,2023-02-17,84.91,2023-02-17,84.49,1206.0,506.52,0.49,eod
LONG,2023-02-21,84.61,2023-02-21,84.11,1216.04,-601.94,-0.59,eod
LONG,2023-02-22,84.3,2023-02-22,83.55,1213.65,-910.24,-0.89,eod
LONG,2023-02-23,84.78,2023-02-23,84.66,1196.65,-137.62,-0.14,eod
SHORT,2023-02-24,83.37,2023-02-24,84.66,1215.25,-1567.68,-1.55,eod
LONG,2023-03-02,85.44,2023-03-02,86.12,1168.38,794.5,0.8,eod
SHORT,2023-03-06,86.69,2023-03-06,87.33,1160.31,-748.05,-0.74,eod
SHORT,2023-03-22,80.08,2023-03-22,78.65,1247.06,1789.53,1.79,eod
SHORT,2023-03-30,82.32,2023-03-30,82.23,1233.87,109.32,0.11,eod
SHORT,2023-04-11,85.74,2023-04-11,86.48,1185.85,-877.53,-0.86,eod
SHORT,2023-04-19,85.58,2023-04-19,86.25,1178.32,-789.48,-0.78,eod
LONG,2023-04-27,83.77,2023-04-27,83.82,1194.83,59.74,0.06,eod
LONG,2023-05-05,80.51,2023-05-05,80.25,1243.91,-323.42,-0.32,eod
SHORT,2023-05-15,78.58,2023-05-15,78.93,1270.56,-444.69,-0.45,eod
SHORT,2023-05-25,78.95,2023-05-25,79.06,1259.25,-138.52,-0.14,eod
LONG,2023-06-07,81.49,2023-06-07,82.16,1218.38,816.32,0.82,eod
SHORT,2023-06-16,81.02,2023-06-16,80.88,1235.02,172.9,0.17,eod
SHORT,2023-06-28,78.48,2023-06-28,79.74,1277.09,-1609.13,-1.61,eod
LONG,2023-07-11,82.1,2023-07-11,83.21,1202.16,1334.4,1.35,eod
LONG,2023-07-20,83.31,2023-07-20,83.56,1199.92,299.98,0.3,eod
SHORT,2023-07-28,85.49,2023-07-28,85.82,1172.65,-386.97,-0.39,eod
SHORT,2023-08-07,86.95,2023-08-07,87.02,1148.73,-80.41,-0.08,eod
SHORT,2023-08-15,88.42,2023-08-15,87.64,1128.77,874.8,0.88,eod
SHORT,2023-08-23,86.21,2023-08-23,87.32,1167.35,-1295.75,-1.29,eod
LONG,2023-09-06,91.53,2023-09-06,91.27,1086.05,-282.37,-0.28,eod
SHORT,2023-09-18,91.74,2023-09-18,92.06,1080.64,-345.8,-0.35,eod
LONG,2023-09-27,91.27,2023-09-27,92.14,1082.6,941.87,0.95,eod
SHORT,2023-10-11,87.3,2023-10-11,87.62,1142.15,-371.2,-0.37,eod
SHORT,2023-10-19,91.32,2023-10-19,91.81,1087.95,-533.09,-0.54,eod
SHORT,2023-10-31,84.76,2023-10-31,85.19,1166.17,-501.45,-0.51,eod
LONG,2023-11-08,83.57,2023-11-08,82.76,1177.08,-953.43,-0.97,eod
SHORT,2023-11-21,84.04,2023-11-21,84.63,1159.72,-684.23,-0.7,eod
SHORT,2023-11-29,84.79,2023-11-29,84.01,1141.79,890.6,0.92,eod
LONG,2023-12-07,82.48,2023-12-07,81.34,1184.03,-1349.79,-1.38,eod
SHORT,2023-12-15,83.88,2023-12-15,84.26,1148.98,-436.61,-0.45,eod
SHORT,2023-12-26,85.56,2023-12-26,85.73,1121.56,-189.54,-0.2,eod
