symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
XLF,,,base,SHORT,2026-01-26,53.325,2026-01-26,53.3087,471.2344,7.68,0.0306,0.0,0.0,signal_decay,
XLF,,,base,SHORT,2026-01-26,53.205,2026-01-27,52.9885,389.9964,84.43,0.4069,0.0,0.0,max_hold,
XLF,,,base,SHORT,2026-01-27,53.015,2026-01-28,52.9835,432.5673,13.63,0.0594,0.0,0.0,signal_decay,
XLF,,,base,SHORT,2026-01-28,52.985,2026-01-29,53.2736,192.612,-55.59,-0.5447,0.0,0.0,max_hold,
XLF,,,base,SHORT,2026-01-29,53.175,2026-01-29,53.2536,870.2033,-68.4,-0.1478,0.0,0.0,signal_decay,
XLF,,,base,SHORT,2026-01-29,53.415,2026-01-29,53.2536,237.208,38.29,0.3022,0.0,0.0,signal_decay,
XLF,,,base,LONG,2026-01-29,53.23,2026-01-29,53.3863,199.7534,31.22,0.2936,0.0,0.0,signal_decay,
XLF,,,base,SHORT,2026-01-29,53.385,2026-01-30,53.3987,316.3758,-4.33,-0.0257,0.0,0.0,max_hold,
XLF,,,base,SHORT,2026-01-30,53.4139,2026-02-02,53.7288,517.2009,-162.87,-0.5895,0.0,0.0,signal_decay,
XLF,,,base,SHORT,2026-02-02,53.9567,2026-02-03,53.6738,188.6646,53.37,0.5243,0.0,0.0,max_hold,
XLF,,,base,SHORT,2026-02-03,53.305,2026-02-04,54.174,358.5066,-311.54,-1.6302,0.0,0.0,disaster_stop,
XLF,,,base,SHORT,2026-02-04,54.125,2026-02-04,53.9989,198.3761,25.02,0.233,0.0,0.0,signal_decay,
XLF,,,base,LONG,2026-02-04,53.91,2026-02-04,54.0711,189.2554,30.49,0.2988,0.0,0.0,signal_decay,
XLF,,,base,SHORT,2026-02-04,53.975,2026-02-05,53.2336,454.2075,336.75,1.3736,0.0,0.0,max_hold,
XLF,,,base,SHORT,2026-02-05,53.275,2026-02-06,54.1489,381.5977,-333.48,-1.6404,0.0,0.0,disaster_stop,
XLF,,,base,SHORT,2026-02-06,54.025,2026-02-06,54.194,922.579,-155.91,-0.3128,0.0,0.0,signal_decay,
XLF,,,base,LONG,2026-02-06,54.1,2026-02-06,54.0661,279.8334,-9.49,-0.0627,0.0,0.0,signal_decay,
XLF,,,base,SHORT,2026-02-06,54.095,2026-02-09,54.165,368.7834,-25.81,-0.1294,0.0,0.0,signal_decay,
XLF,,,base,SHORT,2026-02-09,54.135,2026-02-10,54.0988,289.6087,10.48,0.0669,0.0,0.0,signal_decay,
XLF,,,base,SHORT,2026-02-10,53.885,2026-02-10,53.7238,357.1644,57.57,0.2992,0.0,0.0,signal_decay,
XLF,,,base,SHORT,2026-02-10,53.515,2026-02-11,52.8735,565.6161,362.84,1.1987,0.0,0.0,max_hold,
XLF,,,base,SHORT,2026-02-11,52.89,2026-02-12,51.6631,242.1538,297.1,2.3197,0.0,0.0,max_hold,
XLF,,,base,SHORT,2026-02-12,51.72,2026-02-13,51.8313,968.8848,-107.84,-0.2152,0.0,0.0,signal_decay,
XLF,,,base,SHORT,2026-02-13,51.6,2026-02-17,51.9532,364.0771,-128.59,-0.6845,0.0,0.0,signal_decay,
XLF,,,base,SHORT,2026-02-17,51.995,2026-02-17,52.2333,537.6684,-128.13,-0.4583,0.0,0.0,signal_decay,
XLF,,,base,LONG,2026-02-17,52.165,2026-02-17,52.1767,305.1081,3.57,0.0224,0.0,0.0,signal_decay,
XLF,,,base,SHORT,2026-02-17,52.235,2026-02-18,52.6634,955.8769,-409.5,-0.8201,0.0,0.0,signal_decay,
XLF,,,base,SHORT,2026-02-25,51.455,2026-02-26,52.4283,576.6289,-561.23,-1.8916,0.0,0.0,disaster_stop,
XLF,,,base,SHORT,2026-03-04,51.455,2026-03-04,51.563,194.9498,-21.05,-0.2099,0.0,0.0,signal_decay,
XLF,,,base,SHORT,2026-03-11,49.355,2026-03-12,49.0822,468.4787,127.8,0.5527,0.0,0.0,max_hold,
XLF,,,base,SHORT,2026-03-18,49.305,2026-03-18,49.1922,250.0996,28.21,0.2288,0.0,0.0,signal_decay,
XLF,,,base,SHORT,2026-03-25,49.28,2026-03-25,49.4073,323.3678,-41.17,-0.2583,0.0,0.0,signal_decay,
