symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
XLM-USD,,,base,LONG,2026-01-25,0.2117,2026-01-25,0.2096,118091.6391,-247.99,-0.992,0.0,0.0,signal_decay,
XLM-USD,,,base,LONG,2026-01-25,0.2075,2026-01-25,0.2089,120183.1416,168.26,0.6747,0.0,0.0,signal_decay,
XLM-USD,,,base,SHORT,2026-01-25,0.2056,2026-01-25,0.2045,121498.3754,133.65,0.535,0.0,0.0,signal_decay,
XLM-USD,,,base,SHORT,2026-01-25,0.2036,2026-01-25,0.2014,122855.9825,270.28,1.0806,0.0,0.0,signal_decay,
XLM-USD,,,base,LONG,2026-01-25,0.2018,2026-01-25,0.2032,124286.6642,174.0,0.6938,0.0,0.0,signal_decay,
XLM-USD,,,base,SHORT,2026-01-26,0.2068,2026-01-26,0.2071,121492.0172,-36.45,-0.1451,0.0,0.0,signal_decay,
XLM-USD,,,base,LONG,2026-01-26,0.2061,2026-01-26,0.2075,121860.4428,170.6,0.6793,0.0,0.0,signal_decay,
XLM-USD,,,base,SHORT,2026-01-26,0.2096,2026-01-26,0.2089,120029.0478,84.02,0.334,0.0,0.0,signal_decay,
XLM-USD,,,base,LONG,2026-01-26,0.2076,2026-01-26,0.206,121286.5776,-194.06,-0.7707,0.0,0.0,signal_decay,
XLM-USD,,,base,LONG,2026-01-27,0.2064,2026-01-27,0.2075,121756.6806,133.93,0.5329,0.0,0.0,signal_decay,
XLM-USD,,,base,SHORT,2026-01-27,0.2071,2026-01-27,0.2053,121506.8178,218.71,0.8691,0.0,0.0,signal_decay,
XLM-USD,,,base,LONG,2026-01-27,0.208,2026-01-27,0.2042,121243.9424,-460.73,-1.8269,0.0,0.0,signal_decay,
XLM-USD,,,base,LONG,2026-01-28,0.2089,2026-01-28,0.2079,120170.2168,-120.17,-0.4787,0.0,0.0,signal_decay,
XLM-USD,,,base,SHORT,2026-01-28,0.2084,2026-01-28,0.2089,120314.3749,-60.16,-0.2399,0.0,0.0,max_hold,
XLM-USD,,,base,SHORT,2026-01-28,0.211,2026-01-28,0.2109,118760.5518,11.88,0.0474,0.0,0.0,signal_decay,
XLM-USD,,,base,LONG,2026-01-28,0.2076,2026-01-28,0.2082,120719.8721,72.43,0.289,0.0,0.0,signal_decay,
XLM-USD,,,base,LONG,2026-01-29,0.2094,2026-01-29,0.2085,119768.641,-107.79,-0.4298,0.0,0.0,signal_decay,
XLM-USD,,,base,SHORT,2026-01-29,0.2065,2026-01-29,0.2059,121320.1234,72.79,0.2906,0.0,0.0,signal_decay,
XLM-USD,,,base,SHORT,2026-01-29,0.1969,2026-01-29,0.2013,127327.5952,-560.24,-2.2346,0.0,0.0,disaster_stop,
XLM-USD,,,base,SHORT,2026-01-29,0.2009,2026-01-29,0.1968,124095.2869,508.79,2.0408,0.0,0.0,signal_decay,
XLM-USD,,,base,LONG,2026-01-29,0.1968,2026-01-29,0.1989,127326.935,267.39,1.0671,0.0,0.0,signal_decay,
