symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
XLY,,,base,SHORT,2026-01-26,122.93,2026-01-26,122.7529,110.7806,19.62,0.1441,0.0,0.0,signal_decay,
XLY,,,base,SHORT,2026-01-26,122.67,2026-01-27,122.2028,87.6711,40.96,0.3809,0.0,0.0,signal_decay,
XLY,,,base,LONG,2026-01-27,122.63,2026-01-27,122.5521,92.0581,-7.17,-0.0635,0.0,0.0,signal_decay,
XLY,,,base,SHORT,2026-01-27,122.57,2026-01-28,123.1031,93.8152,-50.01,-0.4349,0.0,0.0,signal_decay,
XLY,,,base,LONG,2026-01-28,123.48,2026-01-28,122.4321,180.1008,-188.73,-0.8486,0.0,0.0,signal_decay,
XLY,,,base,SHORT,2026-01-28,122.03,2026-01-28,121.9527,113.3695,8.76,0.0633,0.0,0.0,signal_decay,
XLY,,,base,LONG,2026-01-29,122.19,2026-01-30,121.2475,233.344,-219.93,-0.7713,0.0,0.0,max_hold,
XLY,,,base,LONG,2026-01-30,121.08,2026-02-02,121.0576,87.4667,-1.96,-0.0185,0.0,0.0,max_hold,
XLY,,,base,LONG,2026-02-02,121.18,2026-02-02,122.1772,141.2579,140.86,0.8229,0.0,0.0,signal_decay,
XLY,,,base,SHORT,2026-02-02,122.25,2026-02-03,122.3828,83.6235,-11.11,-0.1086,0.0,0.0,signal_decay,
XLY,,,base,LONG,2026-02-03,122.385,2026-02-03,120.4778,139.0633,-265.22,-1.5584,0.0,0.0,disaster_stop,
XLY,,,base,LONG,2026-02-03,120.735,2026-02-04,120.4478,128.0258,-36.77,-0.2379,0.0,0.0,max_hold,
XLY,,,base,LONG,2026-02-04,120.54,2026-02-05,118.6485,145.7643,-275.71,-1.5692,0.0,0.0,disaster_stop,
XLY,,,base,LONG,2026-02-05,118.31,2026-02-06,116.1293,125.9918,-274.75,-1.8432,0.0,0.0,disaster_stop,
XLY,,,base,LONG,2026-02-06,116.59,2026-02-06,117.4889,125.9211,113.19,0.771,0.0,0.0,signal_decay,
XLY,,,base,LONG,2026-02-06,117.69,2026-02-09,117.7633,86.5634,6.34,0.0623,0.0,0.0,signal_decay,
XLY,,,base,SHORT,2026-02-09,117.825,2026-02-10,118.4614,88.5699,-56.37,-0.5401,0.0,0.0,signal_decay,
XLY,,,base,LONG,2026-02-10,118.475,2026-02-10,118.4935,349.3219,6.46,0.0156,0.0,0.0,signal_decay,
XLY,,,base,SHORT,2026-02-10,118.465,2026-02-11,117.6562,162.1745,131.17,0.6827,0.0,0.0,signal_decay,
XLY,,,base,SHORT,2026-02-11,117.365,2026-02-12,119.0417,86.9984,-145.87,-1.4286,0.0,0.0,signal_decay,
XLY,,,base,SHORT,2026-02-19,116.21,2026-02-20,115.9906,107.178,23.51,0.1888,0.0,0.0,max_hold,
XLY,,,base,LONG,2026-02-26,117.5,2026-02-26,117.069,135.6998,-58.49,-0.3668,0.0,0.0,signal_decay,
XLY,,,base,LONG,2026-03-05,116.67,2026-03-05,115.8494,102.8935,-84.43,-0.7033,0.0,0.0,signal_decay,
XLY,,,base,SHORT,2026-03-12,112.42,2026-03-13,111.579,315.0739,264.98,0.7481,0.0,0.0,max_hold,
XLY,,,base,SHORT,2026-03-19,109.21,2026-03-19,109.9335,350.5375,-253.61,-0.6625,0.0,0.0,signal_decay,
XLY,,,base,SHORT,2026-03-26,110.55,2026-03-26,108.8481,162.1579,275.98,1.5395,0.0,0.0,end_of_backtest,
