symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
XTZ-USD,crypto,high,base,SHORT,2025-07-20,1.0706,2025-07-25,0.8987,4203.2505,722.54,16.0564,21.5647,-2.168,profit_lock_trail,profit_lock
XTZ-USD,crypto,high,base,SHORT,2025-07-26,0.8972,2025-08-03,0.7611,5051.8438,687.73,15.1733,19.6429,-3.2996,profit_lock_trail,profit_lock
XTZ-USD,crypto,high,base,SHORT,2025-08-04,0.785,2025-08-09,0.9087,5813.3277,-719.11,-15.758,4.5298,-26.5279,disaster_stop,safety
XTZ-USD,crypto,high,base,SHORT,2025-08-10,0.8784,2025-08-12,0.8665,5158.3588,61.61,1.3596,8.062,-6.2051,profit_lock_trail,profit_lock
XTZ-USD,crypto,high,base,SHORT,2025-08-13,0.8851,2025-08-17,0.8583,5122.4434,137.28,3.0279,8.7868,-1.484,profit_lock_trail,profit_lock
XTZ-USD,crypto,high,base,SHORT,2025-08-18,0.8169,2025-08-20,0.818,5557.6598,-6.2,-0.1365,4.5951,-1.922,breakeven_ratchet,breakeven
XTZ-USD,crypto,high,base,SHORT,2025-08-22,0.8643,2025-09-02,0.7282,5252.5436,714.87,15.7468,19.7112,-1.4146,profit_lock_trail,profit_lock
XTZ-USD,crypto,high,base,SHORT,2025-09-07,0.7079,2025-09-12,0.7793,5899.3678,-421.21,-10.0862,0.1954,-12.3794,disaster_stop,safety
XTZ-USD,crypto,high,base,SHORT,2025-10-11,0.5772,2025-10-12,0.6316,7348.4904,-399.76,-9.4248,0.8276,-11.1076,disaster_stop,safety
XTZ-USD,crypto,high,base,SHORT,2025-10-13,0.6552,2025-10-19,0.5978,6921.5489,397.3,8.7607,15.0362,-0.5017,profit_lock_trail,profit_lock
XTZ-USD,crypto,high,base,SHORT,2025-10-20,0.5967,2025-10-31,0.5816,7630.0942,115.21,2.5306,8.116,-4.2505,profit_lock_trail,profit_lock
XTZ-USD,crypto,high,base,SHORT,2025-11-08,0.6494,2025-11-15,0.573,7018.8818,536.28,11.7656,15.6361,-1.8933,profit_lock_trail,profit_lock
XTZ-USD,crypto,high,base,SHORT,2025-11-16,0.5499,2025-11-24,0.5058,8332.7781,367.48,8.0196,13.6036,-1.5999,profit_lock_trail,profit_lock
XTZ-USD,crypto,high,base,SHORT,2025-11-25,0.5076,2025-12-02,0.487,9059.7539,186.63,4.0583,10.0337,-2.1649,profit_lock_trail,profit_lock
XTZ-USD,crypto,high,base,SHORT,2026-01-01,0.5048,2026-01-05,0.5588,7959.5896,-430.06,-10.7033,1.4651,-11.4423,disaster_stop,safety
XTZ-USD,crypto,high,base,SHORT,2026-01-09,0.5782,2026-01-13,0.5947,7071.1914,-116.67,-2.8537,4.5396,-4.3066,breakeven_ratchet,breakeven
XTZ-USD,crypto,high,base,SHORT,2026-01-15,0.5797,2026-01-21,0.5956,7355.1964,-116.95,-2.7428,4.7123,-9.9155,breakeven_ratchet,breakeven
XTZ-USD,crypto,high,base,SHORT,2026-01-23,0.5873,2026-02-02,0.4801,6889.5621,738.56,18.253,23.7763,-0.7439,profit_lock_trail,profit_lock
XTZ-USD,crypto,high,base,SHORT,2026-02-03,0.47,2026-02-06,0.4313,8424.0278,326.01,8.234,22.5351,-2.8557,profit_lock_trail,profit_lock
XTZ-USD,crypto,high,base,SHORT,2026-02-07,0.4211,2026-02-13,0.4074,10983.5421,150.47,3.2534,8.2263,-1.5856,profit_lock_trail,profit_lock
XTZ-USD,crypto,high,base,SHORT,2026-02-14,0.4219,2026-02-20,0.3934,3442.8118,98.12,6.7552,11.4404,-0.5357,profit_lock_trail,profit_lock
XTZ-USD,crypto,high,base,SHORT,2026-02-21,0.3877,2026-02-25,0.396,3678.2048,-30.53,-2.1408,6.3696,-4.9889,breakeven_ratchet,breakeven
