symbol,group,tier,variant,direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,mfe_pct,mae_pct,exit_reason,exit_layer
XTZ-USD,,,base,LONG,2026-01-25,0.5667,2026-01-26,0.5796,44115.0521,569.08,2.2763,0.0,0.0,signal_decay,
XTZ-USD,,,base,SHORT,2026-01-26,0.5983,2026-01-26,0.5602,42022.8498,1601.07,6.368,0.0,0.0,signal_decay,
XTZ-USD,,,base,LONG,2026-01-26,0.5585,2026-01-26,0.5908,45734.1785,1477.21,5.7833,0.0,0.0,signal_decay,
XTZ-USD,,,base,SHORT,2026-01-27,0.5908,2026-01-27,0.5738,43858.9069,745.6,2.8775,0.0,0.0,signal_decay,
XTZ-USD,,,base,LONG,2026-01-27,0.5738,2026-01-27,0.5492,45483.1693,-1118.89,-4.2872,0.0,0.0,disaster_stop,
XTZ-USD,,,base,LONG,2026-01-27,0.5526,2026-01-28,0.5382,46721.8984,-672.8,-2.6059,0.0,0.0,disaster_stop,
XTZ-USD,,,base,LONG,2026-01-28,0.5414,2026-01-28,0.5442,47377.7654,132.66,0.5172,0.0,0.0,signal_decay,
XTZ-USD,,,base,LONG,2026-01-29,0.5374,2026-01-29,0.5221,47792.1225,-731.22,-2.847,0.0,0.0,disaster_stop,
XTZ-USD,,,base,LONG,2026-01-29,0.5221,2026-01-29,0.5093,48842.524,-625.18,-2.4516,0.0,0.0,disaster_stop,
XTZ-USD,,,base,SHORT,2026-01-29,0.517,2026-01-29,0.5144,49022.0226,127.46,0.5029,0.0,0.0,signal_decay,
XTZ-USD,,,base,LONG,2026-01-30,0.495,2026-01-30,0.4997,51265.1515,240.95,0.9495,0.0,0.0,signal_decay,
XTZ-USD,,,base,SHORT,2026-01-30,0.5184,2026-01-30,0.504,49067.2966,706.57,2.7778,0.0,0.0,signal_decay,
XTZ-USD,,,base,SHORT,2026-01-30,0.5071,2026-01-30,0.5028,50509.0294,217.19,0.848,0.0,0.0,signal_decay,
XTZ-USD,,,base,LONG,2026-01-30,0.5028,2026-01-31,0.521,51048.9778,929.09,3.6197,0.0,0.0,signal_decay,
XTZ-USD,,,base,SHORT,2026-01-31,0.521,2026-01-31,0.4867,49711.5142,1705.1,6.5835,0.0,0.0,signal_decay,
