direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,exit_reason
LONG,2024-01-24,186.4,2024-02-07,188.5,476.18,999.98,1.13,signal_flip
LONG,2024-03-05,197.19,2024-04-22,215.57,482.97,8877.0,9.32,trailing_tp
LONG,2024-04-30,211.87,2024-05-28,218.19,387.84,2451.13,2.98,signal_flip
LONG,2024-05-31,215.3,2024-06-07,211.6,246.99,-913.85,-1.72,trailing_stop
LONG,2024-06-10,213.54,2024-07-23,222.58,270.53,2445.61,4.23,trailing_tp
LONG,2024-07-26,220.63,2024-10-08,242.37,325.79,7082.74,9.85,trailing_tp
LONG,2024-10-09,241.05,2024-11-01,252.47,420.52,4802.32,4.74,trailing_tp
SHORT,2024-11-05,253.4,2024-11-08,247.96,314.13,1708.88,2.15,signal_flip
LONG,2024-11-12,240.05,2024-12-18,239.26,285.08,-225.22,-0.33,trailing_stop
LONG,2025-01-17,249.27,2025-02-27,264.93,430.32,6738.76,6.28,trailing_tp
LONG,2025-03-03,266.74,2025-03-31,288.14,445.0,9522.96,8.02,signal_flip
SHORT,2025-03-31,288.14,2025-04-04,279.72,301.75,2540.76,2.92,signal_flip
SHORT,2025-06-20,310.13,2025-06-25,307.12,188.62,567.75,0.97,signal_flip
LONG,2025-09-18,335.62,2025-10-09,365.43,345.5,10299.31,8.88,trailing_tp
LONG,2025-11-05,366.51,2025-12-18,398.57,163.97,5256.96,8.75,signal_flip
SHORT,2025-12-26,416.74,2026-01-02,398.28,258.07,4763.92,4.43,signal_flip
