direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,exit_reason
LONG,2024-02-01,191.02,2024-03-20,201.44,51.25,534.02,5.45,signal_decay
SHORT,2024-04-10,196.88,2024-04-22,191.37,485.09,2676.09,2.8,signal_decay
LONG,2024-05-06,200.39,2024-05-15,205.22,363.69,1756.91,2.41,signal_decay
SHORT,2024-05-29,198.06,2024-06-20,196.42,503.48,824.86,0.83,signal_decay
LONG,2024-06-27,198.54,2024-07-18,214.16,506.2,7903.51,7.86,signal_decay
SHORT,2024-08-05,198.68,2024-08-23,216.55,543.64,-9711.35,-8.99,signal_decay
LONG,2024-08-26,216.61,2024-09-06,204.28,66.8,-823.8,-5.69,disaster_stop
LONG,2024-09-13,213.06,2024-11-29,238.47,299.1,7601.58,11.93,signal_decay
SHORT,2024-12-18,218.38,2025-01-07,220.24,481.83,-895.77,-0.85,signal_decay
SHORT,2025-01-28,224.23,2025-04-15,185.1,54.64,2138.24,17.45,signal_decay
LONG,2025-05-02,198.7,2025-07-22,221.89,535.51,12423.37,11.68,signal_decay
SHORT,2025-08-01,213.6,2025-08-12,225.41,324.16,-3830.47,-5.53,disaster_stop
SHORT,2025-11-04,240.39,2025-11-12,242.83,217.72,-529.47,-1.01,signal_decay
LONG,2025-11-25,244.31,2025-12-08,250.03,155.4,888.99,2.34,signal_decay
SHORT,2026-03-03,259.24,2026-03-06,251.8,311.16,2314.48,2.87,end_of_backtest
