direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,exit_reason
LONG,2024-01-02,398.19,2024-03-13,435.44,149.11,5554.19,9.35,signal_decay
SHORT,2024-04-04,431.15,2024-04-22,414.79,232.58,3805.21,3.79,signal_decay
LONG,2024-05-06,436.02,2024-06-14,474.58,238.27,9189.18,8.84,signal_decay
SHORT,2024-07-24,459.65,2024-08-01,455.96,245.01,904.11,0.8,signal_decay
LONG,2024-08-15,470.6,2024-09-27,483.51,241.14,3112.91,2.74,signal_decay
LONG,2024-10-15,487.59,2024-12-18,513.04,23.88,607.74,5.22,signal_decay
SHORT,2025-01-10,504.63,2025-01-15,514.09,31.1,-294.26,-1.88,signal_decay
LONG,2025-01-17,519.11,2025-01-22,528.83,22.49,218.6,1.87,signal_decay
SHORT,2025-01-27,511.62,2025-04-07,422.18,82.11,7343.5,17.48,signal_decay
LONG,2025-05-01,479.96,2025-08-05,558.9,258.18,20380.3,16.45,signal_decay
SHORT,2025-11-17,602.88,2026-03-06,603.12,203.58,-48.17,-0.04,end_of_backtest
