direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,exit_reason
LONG,2025-12-08,682.42,2025-12-08,682.51,78.31,7.05,0.01,signal_flip
LONG,2025-12-10,688.26,2025-12-11,684.68,57.78,-206.83,-0.52,trailing_stop
LONG,2025-12-11,684.68,2025-12-11,682.66,48.16,-97.52,-0.3,trailing_stop
LONG,2025-12-11,682.66,2025-12-11,688.66,49.54,297.51,0.88,signal_flip
LONG,2025-12-12,681.27,2025-12-12,682.88,39.38,63.4,0.24,signal_flip
SHORT,2025-12-12,683.88,2025-12-12,681.98,71.43,135.73,0.28,signal_flip
LONG,2025-12-12,681.65,2025-12-12,680.34,111.85,-147.08,-0.19,trailing_stop
LONG,2025-12-12,680.34,2025-12-12,681.36,85.36,87.5,0.15,signal_flip
LONG,2025-12-16,677.05,2025-12-17,679.78,64.86,176.73,0.4,signal_flip
SHORT,2025-12-17,678.8,2025-12-18,677.81,64.82,64.17,0.15,trailing_stop
LONG,2025-12-18,676.55,2025-12-18,676.44,21.64,-2.38,-0.02,trailing_stop
LONG,2025-12-18,676.44,2025-12-18,678.33,93.15,176.06,0.28,signal_flip
LONG,2025-12-18,677.15,2025-12-18,678.17,70.01,71.41,0.15,signal_flip
LONG,2025-12-19,679.11,2025-12-19,680.59,63.92,94.61,0.22,signal_flip
SHORT,2025-12-22,683.47,2025-12-22,683.55,37.07,-2.97,-0.01,signal_flip
LONG,2025-12-22,683.55,2025-12-22,684.73,35.35,41.72,0.17,signal_flip
LONG,2025-12-23,685.24,2025-12-23,687.78,121.42,307.8,0.37,signal_flip
LONG,2025-12-23,687.89,2025-12-24,690.35,131.31,323.67,0.36,trailing_stop
LONG,2025-12-24,690.35,2025-12-26,690.82,137.76,64.06,0.07,trailing_stop
LONG,2025-12-26,690.38,2025-12-26,689.64,136.73,-101.18,-0.11,trailing_stop
LONG,2025-12-26,689.49,2025-12-26,690.13,64.91,41.54,0.09,signal_flip
SHORT,2025-12-29,687.48,2025-12-29,686.96,49.84,26.16,0.08,signal_flip
LONG,2025-12-29,687.03,2025-12-29,687.65,60.91,37.16,0.09,trailing_stop
LONG,2025-12-30,686.92,2025-12-30,687.62,65.88,46.11,0.1,signal_flip
LONG,2025-12-30,687.23,2025-12-30,687.6,63.33,23.75,0.05,signal_flip
LONG,2025-12-31,682.93,2025-12-31,681.84,60.85,-66.32,-0.16,trailing_stop
LONG,2025-12-31,681.84,2026-01-02,684.93,54.48,168.35,0.45,signal_flip
LONG,2026-01-02,682.39,2026-01-02,682.3,34.03,-3.06,-0.01,signal_flip
LONG,2026-01-02,680.52,2026-01-05,688.21,62.3,478.95,1.13,signal_flip
LONG,2026-01-06,689.24,2026-01-06,691.97,62.57,170.49,0.4,signal_flip
LONG,2026-01-07,691.97,2026-01-07,692.42,69.01,31.05,0.07,signal_flip
LONG,2026-01-08,689.51,2026-01-08,689.88,59.42,21.98,0.05,signal_flip
LONG,2026-01-09,691.28,2026-01-09,694.25,35.23,104.66,0.43,signal_flip
LONG,2026-01-09,694.53,2026-01-09,694.57,73.06,3.29,0.01,signal_flip
LONG,2026-01-12,693.02,2026-01-12,693.4,52.33,19.63,0.05,signal_flip
LONG,2026-01-12,694.34,2026-01-12,695.27,73.18,68.06,0.13,signal_flip
LONG,2026-01-13,692.73,2026-01-13,692.71,55.6,-1.11,-0.0,signal_flip
SHORT,2026-01-15,693.66,2026-01-15,694.0,19.07,-6.58,-0.05,signal_flip
LONG,2026-01-15,694.0,2026-01-15,694.89,22.66,20.06,0.13,signal_flip
LONG,2026-01-16,691.86,2026-01-16,692.85,37.76,37.39,0.14,signal_flip
LONG,2026-01-16,692.69,2026-01-16,692.86,76.74,13.43,0.03,signal_flip
SHORT,2026-01-20,682.96,2026-01-21,679.55,34.45,117.46,0.5,trailing_stop
SHORT,2026-01-21,684.69,2026-01-21,680.57,44.58,183.88,0.6,trailing_stop
SHORT,2026-01-21,686.32,2026-01-21,686.21,20.65,2.27,0.02,signal_flip
LONG,2026-01-21,686.21,2026-01-22,690.92,17.17,80.87,0.69,signal_flip
SHORT,2026-01-23,690.43,2026-01-23,688.12,50.35,116.31,0.33,signal_flip
LONG,2026-01-23,688.12,2026-01-23,688.8,68.69,46.71,0.1,signal_flip
LONG,2026-01-23,689.07,2026-01-26,692.21,85.83,269.5,0.46,signal_flip
LONG,2026-01-26,692.85,2026-01-26,693.18,60.4,19.68,0.05,signal_flip
SHORT,2026-01-29,689.51,2026-01-29,688.74,29.77,22.92,0.11,trailing_stop
SHORT,2026-01-29,691.1,2026-01-29,690.89,50.22,10.54,0.03,trailing_stop
LONG,2026-01-29,690.97,2026-01-29,691.14,51.1,8.43,0.02,signal_flip
LONG,2026-01-30,690.57,2026-02-02,695.48,39.31,193.01,0.71,signal_flip
SHORT,2026-02-02,694.68,2026-02-02,695.15,31.25,-14.53,-0.07,signal_flip
LONG,2026-02-02,695.15,2026-02-02,696.41,28.59,35.87,0.18,signal_flip
SHORT,2026-02-03,690.98,2026-02-03,686.76,39.03,164.7,0.61,trailing_stop
SHORT,2026-02-04,690.65,2026-02-04,689.98,46.32,31.04,0.1,trailing_stop
SHORT,2026-02-04,689.98,2026-02-04,686.2,34.65,130.97,0.55,trailing_stop
SHORT,2026-02-04,687.48,2026-02-05,676.64,65.39,709.14,1.58,signal_flip
LONG,2026-02-05,676.64,2026-02-05,679.66,14.95,45.14,0.45,signal_flip
SHORT,2026-02-05,681.43,2026-02-05,681.13,36.71,11.01,0.04,trailing_stop
LONG,2026-02-06,683.73,2026-02-06,688.91,14.12,73.07,0.76,signal_flip
LONG,2026-02-09,691.78,2026-02-09,695.2,56.79,193.93,0.49,signal_flip
SHORT,2026-02-09,695.2,2026-02-09,695.34,58.45,-8.77,-0.02,trailing_stop
LONG,2026-02-11,689.72,2026-02-11,692.99,30.9,101.2,0.47,signal_flip
SHORT,2026-02-13,685.69,2026-02-17,682.52,45.69,144.83,0.46,trailing_stop
LONG,2026-02-17,676.92,2026-02-17,678.61,27.34,46.21,0.25,signal_flip
SHORT,2026-02-17,681.66,2026-02-17,680.04,30.88,50.02,0.24,signal_flip
LONG,2026-02-17,680.04,2026-02-17,682.71,35.75,95.45,0.39,signal_flip
