direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,exit_reason
SHORT,2024-01-08,39.2,2024-01-16,37.8,968.15,1355.63,3.57,signal_flip
LONG,2024-01-18,37.42,2024-02-01,39.06,1142.87,1867.9,4.37,trailing_tp
LONG,2024-02-29,40.34,2024-04-12,45.38,1255.11,6328.51,12.5,trailing_tp
LONG,2024-04-17,44.44,2024-05-01,43.45,1426.71,-1414.43,-2.23,trailing_stop
SHORT,2024-05-17,44.83,2024-06-10,42.8,1108.74,2245.51,4.52,signal_flip
LONG,2024-06-14,41.56,2024-07-05,42.88,1044.86,1373.05,3.16,signal_flip
SHORT,2024-07-05,42.88,2024-07-15,43.73,1228.5,-1046.47,-1.99,signal_flip
LONG,2024-08-06,41.39,2024-09-03,42.36,960.71,928.09,2.33,signal_flip
SHORT,2024-09-04,41.77,2024-09-11,40.14,984.94,1607.7,3.91,signal_flip
LONG,2024-09-11,40.14,2024-09-25,41.82,1044.53,1754.58,4.18,trailing_tp
LONG,2024-09-27,41.83,2024-10-08,43.7,960.87,1788.84,4.45,trailing_tp
SHORT,2024-10-10,44.26,2024-10-17,43.49,930.0,713.96,1.73,signal_flip
LONG,2024-11-01,42.24,2024-11-18,46.06,1204.14,4598.99,9.04,signal_flip
LONG,2024-12-19,39.98,2025-01-21,45.23,1423.87,7477.03,13.14,signal_flip
SHORT,2025-01-21,45.23,2025-02-03,42.67,1740.98,4456.06,5.66,signal_flip
LONG,2025-02-03,42.67,2025-03-03,42.49,1222.13,-218.79,-0.42,trailing_stop
LONG,2025-03-12,42.47,2025-04-01,45.84,1061.89,3572.42,7.92,signal_flip
SHORT,2025-04-01,45.84,2025-04-09,40.16,1260.5,7154.38,12.38,trailing_tp
LONG,2025-04-14,38.6,2025-05-20,40.76,549.72,1184.78,5.58,trailing_tp
LONG,2025-05-29,40.11,2025-06-23,42.29,1477.6,3220.5,5.43,trailing_tp
LONG,2025-07-01,42.01,2025-07-21,41.82,1336.54,-256.24,-0.46,trailing_stop
SHORT,2025-09-04,43.79,2025-09-16,44.13,1769.85,-609.01,-0.79,signal_flip
LONG,2025-09-29,44.77,2025-10-10,42.25,1320.28,-3325.16,-5.63,trailing_stop
LONG,2025-10-13,42.82,2025-11-03,43.7,1294.31,1129.37,2.04,signal_flip
LONG,2025-11-24,44.21,2025-12-16,43.44,1501.39,-1153.74,-1.74,trailing_stop
LONG,2025-12-18,43.76,2026-01-06,45.64,1224.78,2306.26,4.3,trailing_tp
LONG,2026-02-02,50.05,2026-02-17,53.75,930.18,3441.68,7.39,trailing_tp
